id,gps_height,longitude,latitude,basin,region_code,lga,population,public_meeting,permit,extraction_type_class,management,payment,water_quality,quantity,source,source_class,waterpoint_type,year,month,selfbuilt,NaN Counts
62343,2173.0,33.62516779,-8.86101931,6,11,60,0,True,True,0,11,5,5,0,6,1,1,2011,4,1,23
1649,1056.0,32.35815302,-4.96546043,3,13,124,0,True,True,1,7,5,5,1,3,0,4,2012,10,0,23
8822,1010.0,37.70648416,-4.00583487,5,2,101,180,True,True,5,7,4,4,2,3,0,1,2013,3,0,24
10352,2173.0,33.66386327,-8.98179247,6,11,60,0,False,False,0,11,5,5,1,6,1,1,2011,4,0,23
50878,1314.0,33.77857064,-3.06340514,4,16,58,0,True,False,0,4,3,5,1,0,1,1,2012,10,0,23
15266,2576.0,33.58724528,-9.16743357,1,11,100,0,True,True,0,7,0,5,1,8,0,1,2011,7,1,20
51956,1190.0,38.4236917,-4.6312447,5,3,52,1,True,True,0,7,0,5,1,8,0,1,2011,3,1,24
44099,642.0,37.12085919,-10.78502855,7,9,120,1,True,False,1,7,3,5,2,3,0,4,2013,2,0,24
59,1302.0,33.59072198,-3.71955244,0,16,40,0,True,True,0,7,4,5,2,8,0,2,2012,10,1,23
51359,25.0,39.56082776,-9.13206159,7,23,37,530,True,False,5,7,6,5,1,3,0,2,2013,1,1,21
15962,1533.0,35.91478132,-4.640245441708068,4,18,15,0,True,True,3,7,6,6,0,3,0,6,2011,8,0,20
17853,1226.0,33.06230846,-1.82664599,4,18,121,1200,True,True,0,7,0,5,2,8,0,5,2011,8,1,24
42040,1387.0,37.55433946,-3.28942377,5,2,73,1,True,True,0,10,0,5,2,8,0,1,2013,3,0,24
72243,805.0,35.99024647,-10.53404797,6,9,86,250,True,False,1,11,5,5,1,7,0,4,2013,2,0,24
63653,1544.0,36.61868919,-3.29203785,5,1,0,200,True,True,0,7,0,5,2,8,0,1,2013,3,1,24
26510,1302.0,33.77914543,-3.32682925,0,16,58,0,True,False,1,11,1,5,1,7,0,4,2012,10,0,23
72053,1321.0,30.50096464,-2.59036242,4,17,89,0,True,False,0,7,0,5,2,8,0,6,2011,8,1,23
29351,1369.0,34.25333419,-1.20066603,4,19,118,560,True,True,1,7,3,5,1,7,0,4,2012,10,1,24
51897,1584.0,34.85944848,-4.97090922,0,12,109,1,True,True,3,7,6,6,0,7,0,6,2013,1,1,20
20376,1609.0,35.10908924,-8.18809279,6,10,79,0,True,True,1,7,2,5,1,1,0,4,2011,3,1,24
26804,334.0,36.50348726,-8.55105463,6,4,122,230,True,True,1,7,3,5,1,7,0,4,2011,3,1,24
67303,1070.0,36.80143513,-3.45135176,5,1,0,150,True,True,0,7,0,5,1,8,0,6,2013,3,1,24
69780,1286.0,37.62786033,-3.13469202,5,2,96,1,True,True,0,0,3,5,2,8,0,1,2013,2,1,24
45374,1478.0,34.58829665,-4.752904467195039,4,16,54,0,True,False,1,11,6,5,1,7,0,4,2013,2,1,20
54665,1624.0,37.22900273,-3.18441406,5,2,16,1,True,True,0,9,4,5,1,8,0,1,2013,3,1,24
39341,1282.0,30.12795597,-4.24867926,3,15,28,950,True,False,5,7,1,5,1,3,0,2,2013,2,0,24
8869,462.0,37.45782761,-11.20866259,7,9,120,1,True,False,0,7,3,5,1,6,1,1,2013,2,0,24
20691,2173.0,33.16618409,-8.942157,2,11,62,0,True,False,1,7,5,5,2,7,0,4,2011,4,0,23
19693,1571.0,35.52646919,-4.48085439,0,20,17,221,True,True,0,7,0,5,0,8,0,1,2013,2,0,24
14321,1546.0,31.9968789,-8.80386259,2,14,113,50,True,False,1,7,0,5,1,3,0,4,2011,8,1,24
63059,1314.0,33.51920554,-3.13524663,4,16,58,0,True,False,0,11,4,5,2,3,0,2,2013,2,0,23
67403,12.0,39.05964828,-5.28936932,5,3,80,25,True,False,0,7,0,5,2,3,0,2,2011,3,1,23
28912,1133.0,37.22600343,-3.27103862,5,2,16,125,True,True,0,9,4,5,1,8,0,1,2013,3,1,24
12549,908.0,35.56741628,-6.33698054,0,0,4,0,True,True,2,7,4,5,1,3,0,1,2011,3,1,23
24328,900.0,37.59031748,-3.7304578,5,2,84,80,True,True,0,9,3,5,2,8,0,6,2013,3,1,24
13750,1056.0,32.0400396,-4.99156819,3,13,123,0,True,True,1,7,0,5,1,7,0,4,2012,10,0,23
1574,1237.0,38.46742948,-4.8647269,5,3,52,1,True,True,0,7,0,5,1,8,0,1,2011,3,1,24
44149,1170.0,31.36783688,-1.06107072,4,17,66,0,True,True,1,7,0,5,2,7,0,4,2011,7,1,23
53917,1344.0,31.12892305,-1.69420356,4,17,26,0,True,True,0,7,2,5,1,8,0,1,2011,7,1,23
22705,1388.0,36.88065592,-3.31430939,5,1,65,98,True,True,0,7,6,5,2,8,0,1,2013,6,1,24
66465,1213.0,32.05069828,-3.41259554,3,16,9,0,True,True,0,3,6,5,3,5,1,1,2012,10,1,23
15644,1170.0,31.83376051,-1.11325712,4,17,7,0,True,True,0,7,0,5,2,5,1,1,2011,7,1,23
20773,1309.0,35.82452906,-5.30269309,0,0,42,0,True,False,2,7,0,5,1,3,0,1,2011,3,1,23
33092,774.0,36.96288481,-7.59517464,6,4,36,300,True,True,0,1,0,5,1,8,0,1,2011,3,0,23
54392,677.0,37.47908238,-3.81858443,5,2,84,320,True,False,2,4,2,6,1,0,1,1,2013,2,1,23
37850,105.0,38.90647215,-6.74295268,8,5,29,1,True,True,2,7,4,5,1,6,1,2,2011,3,1,24
5576,1764.0,35.77193117,-8.02782346,6,10,34,1,True,True,1,7,0,5,1,3,0,4,2011,2,0,24
60840,1182.0,35.87050076,-4.13979616,0,20,2,72,True,True,0,7,0,5,2,8,0,1,2013,2,1,24
9971,1116.0,31.24387308,-6.37911714,2,14,75,70,False,True,0,8,0,5,1,8,0,1,2011,7,1,24
57508,875.0,36.64437721,-6.81836802,8,4,36,350,True,True,1,7,5,5,2,7,0,4,2011,3,0,24
25872,1063.0,32.99693009,-4.19322784,0,13,94,0,False,False,1,7,0,5,1,7,0,4,2012,10,1,23
43978,2116.0,33.98504961,-8.9881064,6,10,55,0,True,False,0,7,5,5,1,8,0,1,2011,3,1,24
38181,2576.0,33.91513217,-9.19113626,1,10,55,0,True,False,0,7,5,5,1,8,0,1,2011,3,1,24
24325,344.0,37.61832784,-6.13357212,8,4,83,20,True,True,3,7,0,5,1,7,0,4,2011,3,1,24
2724,1170.0,31.53064308,-1.52024104,4,17,7,0,True,True,0,7,0,5,2,6,1,1,2011,7,0,23
34794,1006.0,31.14227776,-6.61124387,2,14,75,50,False,True,0,8,0,5,1,8,0,1,2011,7,1,24
56525,1237.0,32.76916953,-3.90293977,0,16,25,0,True,True,0,7,4,5,1,8,0,2,2012,10,1,23
63155,1170.0,31.6075471,-1.76796453,4,17,81,0,True,True,5,7,0,5,1,8,0,1,2011,7,0,23
67247,1633.0,37.57594115,-7.08503792,8,4,83,60,True,True,0,7,4,5,1,6,1,1,2011,3,1,24
23387,24.0,38.91481877,-8.78594686,7,23,37,390,True,True,1,7,0,5,1,7,0,4,2013,1,1,24
17873,1187.0,32.30554915,-3.50805245,3,16,9,0,True,False,3,6,6,6,1,9,0,4,2012,10,1,16
18197,1569.0,34.97643178,-8.82935561,6,10,91,40,True,False,1,7,0,5,1,1,0,4,2011,6,1,24
24834,1610.0,30.03071578,-4.43392653,3,15,28,650,True,True,0,9,3,5,1,8,0,1,2013,2,0,24
4091,1504.0,38.24442402,-4.4588915,5,3,52,1,True,True,0,7,3,5,1,8,0,1,2011,3,1,24
33261,2576.0,33.81466822,-9.26881883,1,11,100,0,True,True,0,7,6,5,1,8,0,1,2011,4,1,19
44384,1721.0,35.02234242,-4.18404892,0,20,63,192,True,True,5,7,4,5,1,3,0,1,2013,2,1,24
62096,1081.0,32.94718642,-4.99483567,3,13,115,0,False,True,3,7,0,5,0,7,0,6,2012,12,0,23
64554,78.0,39.08342696,-7.0035038,8,6,20,250,True,False,5,4,4,5,1,1,0,1,2013,3,0,23
68314,1620.0,35.56771838,-7.94158325,6,10,24,1,True,True,0,7,3,5,1,8,0,1,2011,3,1,24
53,1414.0,36.67432678,-3.35742512,5,1,0,200,True,True,0,7,4,5,2,8,0,1,2013,4,1,24
23426,2102.0,33.91187132,-9.34663784,1,11,100,0,True,True,0,7,0,5,1,8,0,1,2011,4,1,20
38259,1982.0,31.63874388,-8.11393053,3,14,114,0,True,True,0,7,0,5,0,6,1,1,2013,1,0,24
16631,876.0,36.00884449,-10.73030401,7,9,86,200,True,False,1,11,3,5,2,7,0,4,2013,3,0,24
43162,1623.0,34.85774806,-4.96565066,0,12,109,25,True,True,5,0,0,5,2,3,0,1,2013,1,1,21
44492,1344.0,31.45209393,-1.45098903,4,17,7,0,True,True,1,7,0,5,2,7,0,4,2011,7,1,23
38884,1302.0,33.66932264,-3.66413309,0,16,40,0,False,False,0,7,6,5,2,6,1,2,2012,10,1,23
13690,472.0,37.75333011,-6.91532531,8,4,71,250,True,True,0,7,3,5,1,6,1,1,2011,3,1,24
60335,1639.0,37.47825262,-3.2671678,5,2,73,70,True,True,0,1,0,5,1,6,1,1,2013,3,1,23
31856,1056.0,32.12395834,-4.21150952,3,16,25,0,True,True,1,11,6,5,2,7,0,4,2012,10,1,23
67891,173.0,38.35640398,-6.64287516,8,5,3,150,True,True,5,10,4,5,1,6,1,1,2011,3,1,24
25564,697.0,34.6675289,-10.44890839,1,10,51,60,True,False,0,7,0,5,1,8,0,1,2011,3,1,24
55293,1989.0,34.23757868,-9.38027549,1,10,55,0,True,False,0,7,0,5,1,8,0,1,2011,2,1,24
31866,1093.0,37.27313434,-3.28468532,5,2,73,20,True,True,0,9,4,5,1,6,1,1,2013,3,1,24
71178,1594.0,32.88527532,-8.98348456,2,11,62,0,True,False,1,7,5,5,1,7,0,4,2011,7,0,23
60279,2012.0,34.740896,-9.39969423,6,10,91,80,True,True,0,7,0,5,1,8,0,1,2011,3,1,24
28615,1274.0,34.98990302,-10.94025521,1,9,61,260,True,True,0,9,3,5,1,8,0,1,2013,3,0,24
8744,2132.0,34.21215284,-9.45018053,1,10,55,0,True,False,0,7,3,5,1,8,0,1,2011,3,1,24
48308,1237.0,32.75733701,-3.94044709,3,16,25,0,True,True,0,7,4,5,1,8,0,2,2012,10,1,23
49626,1287.0,33.86144433,-1.98006878,4,19,10,200,True,True,0,10,6,5,0,2,1,2,2012,11,0,24
38098,1306.0,36.89963137,-3.11331959,0,1,65,250,True,True,0,10,6,5,2,8,0,1,2013,10,1,24
30309,1339.0,34.07442773,-2.99369841,4,16,5,250,True,False,1,11,0,5,1,7,0,4,2013,1,1,24
8015,1187.0,32.92057868,-2.47456022,4,18,22,0,True,True,1,4,0,4,1,7,0,4,2011,7,0,23
3496,574.0,37.21538421,-6.51840064,8,4,36,189,True,True,5,7,0,4,1,3,0,1,2011,4,1,23
56971,1193.0,38.48246991,-4.6185188,5,3,52,1,True,True,1,7,0,4,1,7,0,4,2011,3,1,24
68616,1321.0,31.02555518,-1.716456232837917,4,18,15,0,True,True,1,7,0,5,2,3,0,4,2011,7,1,21
8646,1042.0,35.7588964,-10.5153101,1,9,86,180,True,False,1,11,5,5,2,7,0,4,2013,2,0,24
74104,679.0,35.84163553,-6.77170227,6,0,11,0,True,True,2,7,6,5,2,3,0,2,2011,3,1,23
37501,720.0,39.24118301,-10.87948265,7,24,88,850,True,False,0,7,4,5,2,8,0,1,2013,1,0,24
33001,1063.0,33.18150167,-4.20028394,0,13,94,0,False,True,5,8,0,1,2,0,1,1,2012,10,1,23
69202,1682.0,37.58743816,-3.21965387,5,2,96,1,True,True,0,0,3,5,1,8,0,1,2013,2,0,24
68409,942.0,37.15330819,-3.33484802,5,2,16,50,True,True,0,9,4,5,1,8,0,1,2013,3,1,24
51847,1393.0,36.15989877,-5.56955781,8,0,11,0,True,True,2,7,6,5,0,3,0,2,2011,3,1,23
55647,1237.0,32.97098153,-3.73365859,0,16,104,0,True,True,1,11,0,5,0,7,0,4,2012,10,0,23
17923,1171.0,33.09373422,-2.03466061,4,18,121,350,True,True,1,7,0,1,3,7,0,4,2011,7,1,24
71743,110.0,38.86003518,-6.7832854000000005,8,5,29,100,True,True,2,7,4,5,0,6,1,6,2011,2,1,24
51539,2554.0,35.69702924,-3.054920139657548,4,16,5,0,True,False,1,11,6,5,1,7,0,4,2013,2,1,20
73819,908.0,35.75457603,-6.33126372,6,0,14,0,True,False,2,7,4,5,1,3,0,2,2011,4,1,23
66881,1666.0,32.93155539,-9.26673527,1,11,62,0,True,False,1,7,5,5,1,7,0,4,2011,4,0,23
58768,951.0,29.88877545,-5.31079128,3,15,31,300,True,True,1,7,6,5,1,7,0,4,2013,2,1,24
2648,1344.0,31.32170771,-2.66167239,3,17,6,0,True,True,0,7,0,5,2,8,0,1,2011,7,1,23
68933,439.0,34.84589302,-11.32726797,1,9,61,96,True,True,0,7,3,5,1,8,0,1,2013,8,0,23
12427,1111.0,30.36036456,-4.86323549,3,15,31,740,True,False,1,7,0,5,1,7,0,4,2013,1,1,24
16633,1594.0,32.72547129,-8.84626582,2,11,62,0,False,False,3,7,0,5,3,7,0,6,2011,8,0,23
24123,1827.0,35.76559605,-8.08149573,6,10,34,400,True,True,1,7,0,5,1,3,0,4,2011,2,1,24
58551,1472.0,35.94820405,-6.14209678,8,0,14,0,True,False,2,7,4,5,0,3,0,2,2011,4,1,23
17132,137.0,38.9532646,-6.81055717,8,5,29,1,True,True,2,7,4,5,1,6,1,2,2011,3,1,24
3027,1345.0,30.86837823,-3.37881268,3,15,30,250,True,False,5,7,6,5,2,3,0,1,2013,2,1,24
2651,1444.0,34.7093461,-5.19063734,0,12,109,1,True,True,2,7,6,6,0,3,0,1,2013,2,1,20
25998,212.0,39.66918663,-10.8580047,7,8,116,300,True,True,5,7,0,5,0,3,0,2,2013,1,0,24
63400,1266.0,36.98730137,-3.25011669,5,1,65,500,True,False,0,10,6,5,2,5,1,2,2013,3,1,24
50028,1472.0,36.00487589999999,-6.21749098,8,0,14,0,True,False,2,7,3,5,0,3,0,1,2011,4,0,23
67897,910.0,36.93159083,-3.57466784,5,20,108,200,True,True,1,11,6,4,2,7,0,4,2013,2,0,24
21425,1237.0,33.24384162,-2.90287945,4,18,67,0,True,True,1,7,0,6,1,3,0,4,2011,8,0,20
71756,1076.0,33.23557581,-3.85032443,0,16,104,0,True,False,1,11,0,5,3,7,0,4,2012,10,0,23
16862,1285.0,37.03823817,-3.19868895,5,2,106,1,True,True,0,9,3,5,1,8,0,1,2013,3,1,24
15420,1570.0,35.1018841,-9.19269342,6,10,91,30,True,True,0,7,0,5,0,6,1,1,2011,4,0,24
47784,1170.0,31.81285612,-1.30123857,4,17,8,0,True,False,0,7,0,5,2,5,1,1,2011,8,1,21
712,379.0,38.36849286,-10.93384583,7,24,87,150,True,True,1,3,4,4,1,3,0,4,2013,2,0,24
54368,1237.0,33.37815286,-2.79280896,4,18,45,0,True,True,3,7,0,5,3,7,0,6,2011,8,1,23
2866,2576.0,33.54989043,-9.22397853,1,11,100,0,True,True,0,7,0,5,1,8,0,1,2011,7,1,20
51130,1039.0,34.17113267,-3.83352987,0,16,64,0,True,True,0,3,0,5,3,5,1,1,2012,10,0,23
27993,1173.0,35.28050862,-5.19786904,0,0,42,0,True,False,1,7,0,5,1,7,0,4,2011,3,1,23
21621,1160.0,30.42759159,-4.27598594,3,15,28,590,True,False,2,7,0,5,1,7,0,2,2013,1,0,24
66038,40.0,38.97155755,-5.38462674,5,3,95,16,False,False,5,4,4,5,3,3,0,1,2011,3,1,24
42182,20.0,38.89095066,-6.51860869,8,5,3,50,True,True,5,4,4,5,1,6,1,1,2011,3,1,23
17694,114.0,39.98205894,-10.29469648,7,25,77,300,True,True,3,7,6,5,1,3,0,6,2013,2,0,23
57759,1959.0,35.87501977,-8.228000699999999,6,10,34,80,True,True,0,7,2,5,1,6,1,1,2011,2,0,24
47978,879.0,35.38635891,-7.65095641,6,10,24,1,True,True,0,7,2,5,1,8,0,1,2011,3,1,24
52359,543.0,37.93798894,-4.57972323,5,2,101,630,True,True,1,7,3,4,1,3,0,4,2013,3,0,23
69656,1440.0,35.59280104,-7.80582548,6,10,24,210,True,True,0,7,3,5,0,8,0,1,2011,3,1,24
24086,1594.0,32.94044845,-8.99754687,2,11,62,0,True,False,1,7,5,5,1,7,0,4,2011,7,1,23
43579,1237.0,32.92992658,-3.57434542,4,16,104,0,True,True,1,11,0,5,1,7,0,4,2012,10,0,23
43284,1523.0,36.60724575,-3.30207819,5,1,0,150,True,True,3,7,0,5,1,3,0,6,2013,3,1,24
2877,1097.0,36.68018106,-6.87616383,8,4,36,250,True,True,1,7,0,4,0,7,0,4,2011,3,0,24
21171,1119.0,30.34717036,-4.8719301,3,15,31,320,True,False,1,7,0,4,1,7,0,4,2013,1,1,24
40982,1749.0,38.27094157,-4.6615608,5,3,52,1,True,True,0,7,0,5,1,8,0,1,2011,3,0,24
48396,1287.0,36.75927115,-3.38737971,5,1,65,120,True,True,0,7,6,5,1,8,0,1,2013,3,1,24
13323,1325.0,33.64930569,-2.80046063,4,18,54,0,True,True,1,7,0,4,2,7,0,4,2011,8,1,23
28467,1554.0,34.73747841,-8.92088215,6,10,91,65,True,True,0,7,2,5,1,8,0,1,2011,3,0,24
2768,1728.0,35.09479154,-4.15189715,0,20,63,218,True,True,2,7,4,5,1,3,0,1,2013,2,0,24
73593,823.0,33.25424193,-8.089335499999999,2,11,13,0,True,True,1,7,4,5,1,7,0,4,2011,4,0,23
65164,738.0,36.33788056,-11.17829173,7,9,86,700,True,False,1,3,5,5,2,7,0,4,2013,2,1,24
69976,848.0,35.9770565,-10.55154627,6,9,86,80,True,False,3,11,5,5,1,7,0,6,2013,2,0,24
52145,319.0,38.98738247,-10.50802015,7,24,57,40,True,False,0,7,0,5,1,8,0,1,2013,2,0,24
49259,1233.0,36.9805944,-3.2681787,5,1,65,120,True,True,0,7,6,5,2,8,0,1,2013,3,1,24
23542,1642.0,35.53901671,-7.91925731,6,10,24,1,True,True,0,7,4,5,1,8,0,1,2011,3,1,24
69848,706.0,37.44412397,-5.82951489,8,4,83,1,True,True,1,7,0,5,2,7,0,4,2011,3,1,24
9305,1672.0,35.09343854,-9.56048826,1,10,91,23,True,False,0,7,0,5,1,8,0,1,2011,3,0,24
14359,1371.0,38.52077442,-4.7781112,5,3,52,1,True,True,0,7,0,5,1,8,0,1,2011,3,1,24
28925,1170.0,31.64219084,-1.42713263,4,17,7,0,True,True,0,7,0,6,0,8,0,1,2011,7,1,22
21243,1008.0,35.08228569,-10.7961727,7,9,61,1,True,True,0,7,6,6,0,8,0,1,2013,2,1,22
10616,372.0,38.64244068,-10.2773797,7,7,85,380,True,False,1,7,0,4,2,3,0,4,2013,1,0,24
73667,1474.0,34.44750516,-4.4015942,0,12,23,195,True,True,1,7,0,5,1,3,0,4,2013,2,0,24
20566,1293.0,33.88622687,-1.66592514,4,19,82,350,True,True,1,7,3,5,1,3,0,4,2012,10,0,24
63711,1428.0,36.84895072,-3.14633698,0,1,65,182,True,True,5,11,3,5,2,3,0,1,2013,11,1,24
72840,501.0,37.74768029,-9.5396571,7,23,49,350,True,True,1,7,6,5,1,3,0,4,2013,1,1,24
31651,583.0,37.15765414,-6.25308769,8,4,36,59,True,True,5,7,4,5,1,3,0,1,2011,4,0,23
3782,1521.0,34.815974700000005,-11.10710636,1,9,61,60,True,True,0,11,6,5,1,8,0,1,2013,3,0,23
6799,1153.0,33.6796768,-1.69114438,4,19,82,250,False,True,1,7,0,5,1,7,0,4,2012,12,0,24
21402,1604.0,37.65901094,-3.71814886,5,2,84,20,True,False,0,10,3,5,1,8,0,1,2013,2,1,24
35390,1198.0,37.47692924,-3.34092018,5,2,73,35,True,True,0,9,4,5,1,8,0,1,2013,3,1,24
12636,1187.0,32.42445785,-3.53829537,3,16,25,0,True,True,5,6,6,6,1,3,0,6,2013,1,1,20
36887,1217.0,38.00682598,-4.26044985,5,2,101,569,True,True,0,7,0,5,2,8,0,2,2013,2,0,24
20086,106.0,38.90354217,-6.83863068,8,5,29,50,True,True,3,7,4,5,2,7,0,4,2011,2,1,24
5634,1063.0,32.79870255,-4.20735891,3,13,94,0,False,False,1,7,0,5,1,7,0,4,2013,1,1,23
48029,1381.0,34.33720524,-3.15236862,0,16,64,0,True,True,1,11,0,5,1,7,0,4,2012,11,1,23
29927,1187.0,32.38385518,-3.83717122,3,16,25,0,True,True,3,11,6,3,2,7,0,6,2012,10,1,23
2930,960.0,35.38271411,-10.71445129,7,9,111,0,True,True,0,7,3,5,1,6,1,1,2013,2,0,24
41800,434.0,38.06751577,-4.65458656,5,3,44,35,True,False,5,7,3,5,1,6,1,1,2011,3,1,24
68349,1097.0,30.20681538,-4.77966637,3,15,28,2400,True,False,1,7,3,5,1,3,0,4,2013,2,0,24
61678,1056.0,32.09890255,-4.93811546,3,13,123,0,True,True,5,7,0,5,0,3,0,1,2012,10,0,23
30270,2260.0,34.39176923,-9.28989206,1,10,91,50,True,False,0,7,5,5,1,8,0,1,2011,11,0,24
4678,788.0,37.34831677,-3.35258803,5,2,74,1,True,True,0,8,4,5,2,8,0,1,2013,2,0,24
9392,1428.0,36.42441051,-5.64326973,8,0,43,0,True,False,2,7,4,4,0,3,0,2,2011,3,1,23
20735,1600.0,34.99698039,-8.94881081,6,10,91,120,True,False,4,7,5,5,1,1,0,4,2011,2,0,24
49300,1288.0,34.02144841,-1.6122602,4,19,82,40,True,False,0,7,6,5,1,3,0,2,2012,10,0,23
70339,1237.0,33.40591772,-2.6087623,4,18,54,0,True,True,2,7,4,5,1,3,0,1,2011,8,1,23
25572,1774.0,36.6391006,-3.26222341,5,1,0,150,True,True,0,7,0,5,2,8,0,1,2013,3,1,24
61445,1039.0,34.09730676,-3.72779425,0,16,64,0,True,True,5,10,4,5,1,7,0,2,2012,10,1,23
32190,1357.0,37.29373148,-5.70419117,8,3,33,1800,True,False,1,7,0,5,2,7,0,4,2011,3,1,23
39189,1528.0,34.76182139,-8.85394964,6,10,91,112,True,True,0,10,3,5,1,6,1,1,2011,3,0,24
14853,823.0,33.16012589,-8.41198798,2,11,13,0,True,True,2,7,4,5,1,3,0,1,2011,4,0,23
52207,108.0,38.9342633,-7.71775824,6,22,99,1,False,True,1,4,4,5,1,7,0,4,2011,2,1,24
48035,1496.0,34.74381046,-4.9013165,0,12,110,106,True,True,1,11,3,5,3,7,0,4,2013,1,1,24
